asset,year,bars,trigger,unavailable,hard_gate_blocked,wide,n_met_ge_3,n_met_ge_4,trigger_rate,wide_rate,n_met_ge_3_rate,n_met_ge_4_rate,unavailable_rate,wide_n_met_0,wide_n_met_1,wide_n_met_2,wide_n_met_3,wide_n_met_4,wide_n_met_5
BTC-USD,2021,7344,809,0,621,188,127,52,0.11015795206971678,0.02559912854030501,0.017293028322440087,0.007080610021786492,0.0,0,1,60,75,49,3
BTC-USD,2022,8760,986,0,915,71,52,27,0.11255707762557078,0.008105022831050229,0.005936073059360731,0.0030821917808219177,0.0,0,0,19,25,20,7
BTC-USD,2023,8757,1063,0,789,274,223,112,0.12138860340299189,0.031289254310837046,0.0254653420121046,0.012789768185451638,0.0,0,0,51,111,91,21
BTC-USD,2024,8784,937,0,686,251,210,119,0.1066712204007286,0.028574681238615667,0.02390710382513661,0.01354735883424408,0.0,0,0,41,91,90,29
BTC-USD,2025,8755,1009,0,854,155,129,81,0.11524842946887492,0.01770416904625928,0.01473443746430611,0.00925185608223872,0.0,0,1,25,48,70,11
BTC-USD,2026,4604,507,0,440,67,56,34,0.11012163336229366,0.014552562988705473,0.01216333622936577,0.007384882710686359,0.0,0,0,11,22,26,8
ETH-USD,2021,7344,787,0,578,209,152,65,0.10716230936819172,0.028458605664488018,0.020697167755991286,0.008850762527233115,0.0,0,2,55,87,52,13
ETH-USD,2022,8760,946,0,870,76,60,36,0.10799086757990868,0.008675799086757991,0.00684931506849315,0.00410958904109589,0.0,0,0,16,24,26,10
ETH-USD,2023,8757,1102,0,883,219,161,80,0.12584218339614023,0.025008564576909902,0.01838529176658673,0.009135548703894028,0.0,0,0,58,81,67,13
ETH-USD,2024,8784,996,0,805,191,134,68,0.1133879781420765,0.02174408014571949,0.015255009107468125,0.007741347905282332,0.0,0,0,57,66,65,3
ETH-USD,2025,8755,1036,0,930,106,82,39,0.11833238149628783,0.012107367218732153,0.009366076527698459,0.004454597372929754,0.0,0,0,24,43,32,7
ETH-USD,2026,4604,479,0,441,38,30,16,0.10403996524761078,0.008253692441355343,0.006516072980017376,0.0034752389226759338,0.0,0,0,8,14,15,1
SOL-USD,2021,4687,526,526,0,0,0,0,0.11222530403243013,0.0,0.0,0.0,0.11222530403243013,0,0,0,0,0,0
SOL-USD,2022,8760,962,8,942,12,7,4,0.10981735159817352,0.0013698630136986301,0.0007990867579908676,0.00045662100456621003,0.0009132420091324201,0,0,5,3,4,0
SOL-USD,2023,8755,964,0,809,155,127,56,0.11010850942318676,0.01770416904625928,0.014505996573386637,0.0063963449457452885,0.0,0,0,28,71,51,5
SOL-USD,2024,8784,1036,0,776,260,191,92,0.11794171220400729,0.02959927140255009,0.02174408014571949,0.010473588342440802,0.0,0,1,68,99,70,22
SOL-USD,2025,8755,962,0,824,138,122,60,0.10988006853226727,0.015762421473443745,0.01393489434608795,0.006853226727584237,0.0,0,0,16,62,45,15
SOL-USD,2026,4604,531,0,531,0,0,0,0.11533449174630755,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ZEC-USD,2021,7344,850,327,462,61,53,25,0.11574074074074074,0.008306100217864924,0.00721677559912854,0.0034041394335511985,0.044526143790849675,0,0,8,28,18,7
ZEC-USD,2022,8760,1070,0,1017,53,44,26,0.12214611872146118,0.006050228310502283,0.00502283105022831,0.0029680365296803654,0.0,0,1,8,18,23,3
ZEC-USD,2023,8756,1226,0,1206,20,20,15,0.14001827318410234,0.0022841480127912287,0.0022841480127912287,0.0017131110095934216,0.0,0,0,0,5,10,5
ZEC-USD,2024,8783,1045,0,859,186,157,70,0.11897984743254013,0.02117727427985882,0.017875441193214162,0.007969941933280201,0.0,0,2,27,87,60,10
ZEC-USD,2025,8755,977,0,798,179,142,62,0.11159337521416333,0.020445459737292976,0.016219303255282695,0.0070816676185037125,0.0,0,1,36,80,59,3
ZEC-USD,2026,4604,476,0,394,82,62,33,0.10338835794960903,0.017810599478714162,0.013466550825369244,0.007167680278019114,0.0,0,1,19,29,29,4
