symbol,year,window_days,threshold_of_margin,price_move_required_pct,entry_bars,breach_bars,breach_fraction,episodes
BTCUSDT,2020,1,0.5,15.32,2196,20,0.00911,8
BTCUSDT,2021,1,0.5,15.32,2190,27,0.01233,11
BTCUSDT,2022,1,0.5,15.32,2190,5,0.00228,2
BTCUSDT,2023,1,0.5,15.32,2190,7,0.0032,2
BTCUSDT,2024,1,0.5,15.32,2196,0,0.0,0
BTCUSDT,2025,1,0.5,15.32,2190,0,0.0,0
BTCUSDT,2026,1,0.5,15.32,1559,0,0.0,0
BTCUSDT,full_window,1,0.5,15.32,14711,59,0.00401,23
BTCUSDT,2020,1,0.75,22.98,2196,2,0.00091,2
BTCUSDT,2021,1,0.75,22.98,2190,7,0.0032,2
BTCUSDT,2022,1,0.75,22.98,2190,0,0.0,0
BTCUSDT,2023,1,0.75,22.98,2190,0,0.0,0
BTCUSDT,2024,1,0.75,22.98,2196,0,0.0,0
BTCUSDT,2025,1,0.75,22.98,2190,0,0.0,0
BTCUSDT,2026,1,0.75,22.98,1559,0,0.0,0
BTCUSDT,full_window,1,0.75,22.98,14711,9,0.00061,4
BTCUSDT,2020,1,1.0,30.64,2196,0,0.0,0
BTCUSDT,2021,1,1.0,30.64,2190,6,0.00274,1
BTCUSDT,2022,1,1.0,30.64,2190,0,0.0,0
BTCUSDT,2023,1,1.0,30.64,2190,0,0.0,0
BTCUSDT,2024,1,1.0,30.64,2196,0,0.0,0
BTCUSDT,2025,1,1.0,30.64,2190,0,0.0,0
BTCUSDT,2026,1,1.0,30.64,1559,0,0.0,0
BTCUSDT,full_window,1,1.0,30.64,14711,6,0.00041,1
BTCUSDT,2020,3,0.5,15.32,2196,118,0.05373,15
BTCUSDT,2021,3,0.5,15.32,2190,137,0.06256,17
BTCUSDT,2022,3,0.5,15.32,2190,27,0.01233,9
BTCUSDT,2023,3,0.5,15.32,2190,60,0.0274,5
BTCUSDT,2024,3,0.5,15.32,2196,22,0.01002,3
BTCUSDT,2025,3,0.5,15.32,2190,3,0.00137,1
BTCUSDT,2026,3,0.5,15.32,1559,11,0.00706,1
BTCUSDT,full_window,3,0.5,15.32,14711,378,0.0257,51
BTCUSDT,2020,3,0.75,22.98,2196,31,0.01412,5
BTCUSDT,2021,3,0.75,22.98,2190,43,0.01963,6
BTCUSDT,2022,3,0.75,22.98,2190,0,0.0,0
BTCUSDT,2023,3,0.75,22.98,2190,14,0.00639,2
BTCUSDT,2024,3,0.75,22.98,2196,5,0.00228,1
BTCUSDT,2025,3,0.75,22.98,2190,0,0.0,0
BTCUSDT,2026,3,0.75,22.98,1559,5,0.00321,1
BTCUSDT,full_window,3,0.75,22.98,14711,98,0.00666,15
BTCUSDT,2020,3,1.0,30.64,2196,4,0.00182,1
BTCUSDT,2021,3,1.0,30.64,2190,21,0.00959,2
BTCUSDT,2022,3,1.0,30.64,2190,0,0.0,0
BTCUSDT,2023,3,1.0,30.64,2190,2,0.00091,1
BTCUSDT,2024,3,1.0,30.64,2196,0,0.0,0
BTCUSDT,2025,3,1.0,30.64,2190,0,0.0,0
BTCUSDT,2026,3,1.0,30.64,1559,0,0.0,0
BTCUSDT,full_window,3,1.0,30.64,14711,27,0.00184,4
BTCUSDT,2020,7,0.5,15.32,2196,417,0.18989,18
BTCUSDT,2021,7,0.5,15.32,2190,398,0.18174,21
BTCUSDT,2022,7,0.5,15.32,2190,149,0.06804,9
BTCUSDT,2023,7,0.5,15.32,2190,213,0.09726,7
BTCUSDT,2024,7,0.5,15.32,2196,139,0.0633,9
BTCUSDT,2025,7,0.5,15.32,2190,10,0.00457,2
BTCUSDT,2026,7,0.5,15.32,1559,41,0.0263,2
BTCUSDT,full_window,7,0.5,15.32,14711,1367,0.09292,68
BTCUSDT,2020,7,0.75,22.98,2196,169,0.07696,7
BTCUSDT,2021,7,0.75,22.98,2190,158,0.07215,12
BTCUSDT,2022,7,0.75,22.98,2190,14,0.00639,3
BTCUSDT,2023,7,0.75,22.98,2190,77,0.03516,4
BTCUSDT,2024,7,0.75,22.98,2196,50,0.02277,2
BTCUSDT,2025,7,0.75,22.98,2190,0,0.0,0
BTCUSDT,2026,7,0.75,22.98,1559,31,0.01988,1
BTCUSDT,full_window,7,0.75,22.98,14711,499,0.03392,29
BTCUSDT,2020,7,1.0,30.64,2196,37,0.01685,4
BTCUSDT,2021,7,1.0,30.64,2190,89,0.04064,4
BTCUSDT,2022,7,1.0,30.64,2190,0,0.0,0
BTCUSDT,2023,7,1.0,30.64,2190,17,0.00776,1
BTCUSDT,2024,7,1.0,30.64,2196,4,0.00182,1
