symbol,spot_schedule,year,coverage_days,gross_always_on_pct_yr,gross_harvest_rule_pct_yr,cycles,cycles_per_year,median_cycle_days,fraction_of_events_held,fee_pct_yr,net_on_notional_pct_yr,net_on_committed_capital_pct_yr
BTCUSDT,adopted,2020,366.7,17.1731,17.9725,7,6.973,35.67,0.8588,13.911,4.0614,2.9367
BTCUSDT,adopted,2021,365.7,30.5735,30.7396,6,5.993,4.17,0.9196,11.9564,18.7833,13.5815
BTCUSDT,adopted,2022,365.7,4.1602,4.306,10,9.989,28.67,0.8886,19.9273,-15.6212,-11.2952
BTCUSDT,adopted,2023,365.7,7.8567,7.8194,3,2.997,27.0,0.9826,5.9782,1.8412,1.3313
BTCUSDT,adopted,2024,366.7,11.9107,11.9346,3,2.988,12.0,0.9435,5.9619,5.9727,4.3186
BTCUSDT,adopted,2025,365.7,5.1206,5.1251,3,2.997,105.67,0.9479,5.9782,-0.8531,-0.6168
BTCUSDT,adopted,2026,243.7,2.6124,3.1173,8,11.992,5.83,0.6941,23.9236,-20.8063,-15.0443
BTCUSDT,adopted,full_window,2435.7,11.8025,12.0188,40,5.998,17.0,0.9006,11.9667,0.0521,0.0377
ETHUSDT,adopted,2020,366.7,27.3837,27.2642,2,1.992,253.0,0.9891,3.9746,23.2896,16.4185
ETHUSDT,adopted,2021,365.7,37.4945,37.3746,5,4.994,21.33,0.9744,9.9636,27.4109,19.3239
ETHUSDT,adopted,2022,365.7,0.7864,2.8342,10,9.989,16.83,0.6785,19.9273,-17.0931,-12.0501
ETHUSDT,adopted,2023,365.7,8.2501,8.2471,1,0.999,345.33,0.979,1.9927,6.2543,4.4091
ETHUSDT,adopted,2024,366.7,12.9467,12.9268,3,2.988,6.0,0.9882,5.9619,6.965,4.9101
ETHUSDT,adopted,2025,365.7,4.9231,4.8339,5,4.994,60.0,0.9799,9.9636,-5.1298,-3.6163
ETHUSDT,adopted,2026,243.7,1.5647,2.2629,7,10.493,10.0,0.6296,20.9332,-18.6703,-13.162
ETHUSDT,adopted,full_window,2435.7,13.9527,14.2771,33,4.949,21.33,0.9014,9.8725,4.4046,3.1051
BTCUSDT,candidate,2020,366.7,17.1731,17.9725,7,6.973,35.67,0.8588,11.1219,6.8506,4.9534
BTCUSDT,candidate,2021,365.7,30.5735,30.7396,6,5.993,4.17,0.9196,9.5591,21.1805,15.3149
BTCUSDT,candidate,2022,365.7,4.1602,4.306,10,9.989,28.67,0.8886,15.9318,-11.6258,-8.4062
BTCUSDT,candidate,2023,365.7,7.8567,7.8194,3,2.997,27.0,0.9826,4.7795,3.0398,2.198
BTCUSDT,candidate,2024,366.7,11.9107,11.9346,3,2.988,12.0,0.9435,4.7665,7.168,5.183
BTCUSDT,candidate,2025,365.7,5.1206,5.1251,3,2.997,105.67,0.9479,4.7795,0.3456,0.2499
BTCUSDT,candidate,2026,243.7,2.6124,3.1173,8,11.992,5.83,0.6941,19.1269,-16.0096,-11.576
BTCUSDT,candidate,full_window,2435.7,11.8025,12.0188,40,5.998,17.0,0.9006,9.5674,2.4515,1.7726
ETHUSDT,candidate,2020,366.7,27.3837,27.2642,2,1.992,253.0,0.9891,3.1777,24.0865,16.9803
ETHUSDT,candidate,2021,365.7,37.4945,37.3746,5,4.994,21.33,0.9744,7.9659,29.4086,20.7322
ETHUSDT,candidate,2022,365.7,0.7864,2.8342,10,9.989,16.83,0.6785,15.9318,-13.0976,-9.2334
ETHUSDT,candidate,2023,365.7,8.2501,8.2471,1,0.999,345.33,0.979,1.5932,6.6539,4.6908
ETHUSDT,candidate,2024,366.7,12.9467,12.9268,3,2.988,6.0,0.9882,4.7665,8.1603,5.7528
ETHUSDT,candidate,2025,365.7,4.9231,4.8339,5,4.994,60.0,0.9799,7.9659,-3.132,-2.208
ETHUSDT,candidate,2026,243.7,1.5647,2.2629,7,10.493,10.0,0.6296,16.736,-14.4732,-10.2032
ETHUSDT,candidate,full_window,2435.7,13.9527,14.2771,33,4.949,21.33,0.9014,7.8931,6.3841,4.5006
