symbol,spot_schedule,year,observations,break_even_median_cycle_pct_yr,break_even_realised_rate_pct_yr,frac_above_1x_break_even,frac_above_2x_break_even,frac_above_3x_break_even,frac_above_realised_break_even,frac_above_zero,median_trailing_pct_yr
BTCUSDT,adopted,2020,1098,45.6751,14.7787,0.0956,0.0137,0.0,0.3989,0.8597,10.95
BTCUSDT,adopted,2021,1095,45.6751,14.7787,0.232,0.0776,0.0037,0.5443,0.9196,16.8651
BTCUSDT,adopted,2022,1095,45.6751,14.7787,0.0,0.0,0.0,0.0,0.8886,4.8187
BTCUSDT,adopted,2023,1095,45.6751,14.7787,0.0,0.0,0.0,0.0612,0.9826,6.8308
BTCUSDT,adopted,2024,1098,45.6751,14.7787,0.0337,0.0,0.0,0.2386,0.9435,10.4145
BTCUSDT,adopted,2025,1095,45.6751,14.7787,0.0,0.0,0.0,0.0,0.9479,5.1822
BTCUSDT,adopted,2026,729,45.6751,14.7787,0.0,0.0,0.0,0.0,0.6941,3.0089
BTCUSDT,adopted,full_window,7305,45.6751,14.7787,0.0542,0.0137,0.0005,0.1866,0.9008,6.8328
ETHUSDT,adopted,2020,1098,38.6805,14.3911,0.2286,0.0546,0.0182,0.4882,0.99,13.6672
ETHUSDT,adopted,2021,1095,38.6805,14.3911,0.3315,0.1653,0.0831,0.5826,0.9744,19.0975
ETHUSDT,adopted,2022,1095,38.6805,14.3911,0.0,0.0,0.0,0.0,0.6785,3.2119
ETHUSDT,adopted,2023,1095,38.6805,14.3911,0.0018,0.0,0.0,0.0922,0.979,6.8344
ETHUSDT,adopted,2024,1098,38.6805,14.3911,0.0556,0.0,0.0,0.2495,0.9882,10.3157
ETHUSDT,adopted,2025,1095,38.6805,14.3911,0.0,0.0,0.0,0.0,0.9799,4.7461
ETHUSDT,adopted,2026,729,38.6805,14.3911,0.0,0.0,0.0,0.0,0.6296,1.8623
ETHUSDT,adopted,full_window,7305,38.6805,14.3911,0.0927,0.033,0.0152,0.212,0.9016,7.4351
BTCUSDT,candidate,2020,1098,36.4561,11.7545,0.1321,0.0219,0.0,0.4617,0.8597,10.95
BTCUSDT,candidate,2021,1095,36.4561,11.7545,0.3096,0.1178,0.0521,0.6146,0.9196,16.8651
BTCUSDT,candidate,2022,1095,36.4561,11.7545,0.0,0.0,0.0,0.0,0.8886,4.8187
BTCUSDT,candidate,2023,1095,36.4561,11.7545,0.0018,0.0,0.0,0.1041,0.9826,6.8308
BTCUSDT,candidate,2024,1098,36.4561,11.7545,0.0565,0.0,0.0,0.3005,0.9435,10.4145
BTCUSDT,candidate,2025,1095,36.4561,11.7545,0.0,0.0,0.0,0.0,0.9479,5.1822
BTCUSDT,candidate,2026,729,36.4561,11.7545,0.0,0.0,0.0,0.0,0.6941,3.0089
BTCUSDT,candidate,full_window,7305,36.4561,11.7545,0.075,0.0209,0.0078,0.2223,0.9008,6.8328
ETHUSDT,candidate,2020,1098,30.8268,11.4075,0.275,0.1038,0.0228,0.5974,0.99,13.6672
ETHUSDT,candidate,2021,1095,30.8268,11.4075,0.3963,0.2265,0.1187,0.6374,0.9744,19.0975
ETHUSDT,candidate,2022,1095,30.8268,11.4075,0.0,0.0,0.0,0.0,0.6785,3.2119
ETHUSDT,candidate,2023,1095,30.8268,11.4075,0.0137,0.0,0.0,0.1443,0.979,6.8344
ETHUSDT,candidate,2024,1098,30.8268,11.4075,0.0774,0.0,0.0,0.3306,0.9882,10.3157
ETHUSDT,candidate,2025,1095,30.8268,11.4075,0.0,0.0,0.0,0.0,0.9799,4.7461
ETHUSDT,candidate,2026,729,30.8268,11.4075,0.0,0.0,0.0,0.0,0.6296,1.8623
ETHUSDT,candidate,full_window,7305,30.8268,11.4075,0.1144,0.0496,0.0212,0.2567,0.9016,7.4351
