symbol,scope,decidable_edge_floor_pct,first,intervals,last,mean_annualised_pct,median_annualised_pct,n_eff,observations_n,p10_annualised_pct,p25_annualised_pct,p75_annualised_pct,p90_annualised_pct,p99_annualised_pct,pct_intervals_long_pays,per_bar_sd_pct,rho_bar,year
BTCUSDT,overall,,2020-01-01,7305,2026-08-31,11.7977,10.1605,,,-1.7264,2.9488,10.95,25.5306,116.2865,85.89,,,
BTCUSDT,year-2020,,2020-01-01,1098,2020-12-31,17.1926,10.95,,,-4.5684,10.95,14.5974,53.4611,116.9161,85.7,,,2020
BTCUSDT,year-2021,,2021-01-01,1095,2021-12-31,30.6084,10.95,,,3.8581,10.95,41.2629,89.7212,171.3094,92.69,,,2021
BTCUSDT,year-2022,,2022-01-01,1095,2022-12-31,4.1649,5.6228,,,-5.4183,0.64,10.95,10.95,10.95,77.9,,,2022
BTCUSDT,year-2023,,2023-01-01,1095,2023-12-31,7.8657,9.0502,,,-0.0234,3.1629,10.95,10.95,38.0722,89.86,,,2023
BTCUSDT,year-2024,,2024-01-01,1098,2024-12-31,11.9242,10.95,,,0.9262,5.6746,10.95,24.3786,70.5532,91.62,,,2024
BTCUSDT,year-2025,,2025-01-01,1095,2025-12-31,5.1264,5.2845,,,-0.6511,2.0356,9.0885,10.95,10.95,87.12,,,2025
BTCUSDT,year-2026,,2026-01-01,729,2026-08-31,2.6178,3.1175,,,-4.8609,-0.6986,6.4649,9.6029,10.95,71.47,,,2026
ETHUSDT,overall,,2020-01-01,7305,2026-08-31,13.947,10.95,,,-1.5891,3.3397,10.95,34.4218,148.262,86.17,,,
ETHUSDT,year-2020,,2020-01-01,1098,2020-12-31,27.4148,10.95,,,10.95,10.95,33.5571,74.4745,155.4246,97.36,,,2020
ETHUSDT,year-2021,,2021-01-01,1095,2021-12-31,37.5373,10.95,,,10.95,10.95,47.2241,103.5047,230.1334,95.89,,,2021
ETHUSDT,year-2022,,2022-01-01,1095,2022-12-31,0.7873,4.2442,,,-11.0361,-3.0217,10.95,10.95,10.95,65.84,,,2022
ETHUSDT,year-2023,,2023-01-01,1095,2023-12-31,8.2595,9.0359,,,0.2724,3.3671,10.95,10.95,48.3698,90.87,,,2023
ETHUSDT,year-2024,,2024-01-01,1098,2024-12-31,12.9614,10.95,,,2.6959,7.0064,10.95,27.3804,66.7501,95.81,,,2024
ETHUSDT,year-2025,,2025-01-01,1095,2025-12-31,4.9287,5.256,,,-1.2606,1.5565,9.2352,10.95,10.95,83.84,,,2025
ETHUSDT,year-2026,,2026-01-01,729,2026-08-31,1.5679,2.4616,,,-6.529,-1.5418,5.7783,8.5649,10.95,67.22,,,2026
BTC+ETH,power-daily-1y,0.3116,,,,,,1.09,398,,,,,,,3.778,0.8357,
BTC+ETH,power-daily-2y,0.2203,,,,,,1.09,796,,,,,,,3.778,0.8357,
BTC+ETH,power-daily-3y,0.1799,,,,,,1.09,1194,,,,,,,3.778,0.8357,
BTC+ETH,power-4h-1y,0.0495,,,,,,1.09,2387,,,,,,,1.4715,0.8357,
BTC+ETH,power-4h-2y,0.035,,,,,,1.09,4774,,,,,,,1.4715,0.8357,
BTC+ETH,power-4h-3y,0.0286,,,,,,1.09,7161,,,,,,,1.4715,0.8357,
