mechanism,symbol,scope,round_trips_per_year,fee_drag_pct_yr,fee_drag_pct_yr_all_taker,funding_drag_pct_yr,funding_long_pct_yr,funding_short_pct_yr,total_drag_pct_yr,funding_always_in_position_pct_yr,funding_occupancy_weighted_pct_yr
M1,BTCUSDT,full_window,19.060,3.7205,3.8159,6.6243,6.6243,0.0000,10.3448,11.8057,4.0257
M1,BTCUSDT,2020,,,,11.9521,11.9521,0.0000,,,
M1,BTCUSDT,2021,,,,19.0728,19.0728,0.0000,,,
M1,BTCUSDT,2022,,,,1.3407,1.3407,0.0000,,,
M1,BTCUSDT,2023,,,,3.3686,3.3686,0.0000,,,
M1,BTCUSDT,2024,,,,6.2775,6.2775,0.0000,,,
M1,BTCUSDT,2025,,,,1.5797,1.5797,0.0000,,,
M1,BTCUSDT,2026,,,,0.5709,0.5709,0.0000,,,
M1,ETHUSDT,full_window,21.443,4.1856,4.2929,8.6554,8.6554,0.0000,12.8410,13.9565,4.7299
M1,ETHUSDT,2020,,,,17.6766,17.6766,0.0000,,,
M1,ETHUSDT,2021,,,,25.9416,25.9416,0.0000,,,
M1,ETHUSDT,2022,,,,1.0897,1.0897,0.0000,,,
M1,ETHUSDT,2023,,,,4.0847,4.0847,0.0000,,,
M1,ETHUSDT,2024,,,,6.1250,6.1250,0.0000,,,
M1,ETHUSDT,2025,,,,2.0452,2.0452,0.0000,,,
M1,ETHUSDT,2026,,,,0.7398,0.7398,0.0000,,,
M2,BTCUSDT,full_window,191.795,37.4375,38.3975,4.6305,8.2148,-3.5844,42.0680,11.8057,11.7809
M2,BTCUSDT,2020,,,,9.8757,13.5359,-3.6602,,,
M2,BTCUSDT,2021,,,,14.0951,22.3518,-8.2567,,,
M2,BTCUSDT,2022,,,,1.0646,2.6148,-1.5502,,,
M2,BTCUSDT,2023,,,,1.4709,4.6683,-3.1974,,,
M2,BTCUSDT,2024,,,,4.0137,7.9853,-3.9716,,,
M2,BTCUSDT,2025,,,,0.5243,2.8253,-2.3011,,,
M2,BTCUSDT,2026,,,,-0.1745,0.7842,-0.9586,,,
M2,ETHUSDT,full_window,182.116,35.5482,36.4597,7.9497,10.9436,-2.9940,43.4979,13.9565,13.9258
M2,ETHUSDT,2020,,,,15.9818,21.6728,-5.6909,,,
M2,ETHUSDT,2021,,,,25.3481,31.4427,-6.0946,,,
M2,ETHUSDT,2022,,,,2.8751,1.8312,1.0439,,,
M2,ETHUSDT,2023,,,,2.8866,5.5730,-2.6865,,,
M2,ETHUSDT,2024,,,,4.1335,8.5652,-4.4317,,,
M2,ETHUSDT,2025,,,,1.1646,3.0467,-1.8821,,,
M2,ETHUSDT,2026,,,,0.6081,0.8259,-0.2179,,,
