symbol,scope,bars,sd_4h_log_return_pct
BTCUSDT,full_window,14711,1.2716
BTCUSDT,2020,2195,1.4658
BTCUSDT,2021,2190,1.8652
BTCUSDT,2022,2190,1.3121
BTCUSDT,2023,2190,0.9014
BTCUSDT,2024,2196,1.1083
BTCUSDT,2025,2190,0.9442
BTCUSDT,2026,1560,0.8930
ETHUSDT,full_window,14711,1.6641
ETHUSDT,2020,2195,1.8935
ETHUSDT,2021,2190,2.3439
ETHUSDT,2022,2190,1.7985
ETHUSDT,2023,2190,0.9795
ETHUSDT,2024,2196,1.3587
ETHUSDT,2025,2190,1.5612
ETHUSDT,2026,1560,1.2009
BTCUSDT|ETHUSDT,rho_bar_4h_log_returns,14711,0.8385
BTCUSDT|ETHUSDT,n_eff,4,1.0880
