mechanism,symbol,scope,bars,starts,mean_hold_bars,median_hold_bars,fraction_in_position,fraction_long,fraction_short
M1,BTCUSDT,full_window,14712,128,39.2,30.0,0.3410,0.3410,0.0000
M1,BTCUSDT,2020,2196,18,56.22,44.5,0.4344,,
M1,BTCUSDT,2021,2190,18,39.39,27.5,0.3502,,
M1,BTCUSDT,2022,2190,19,24.21,19.0,0.2100,,
M1,BTCUSDT,2023,2190,20,41.55,34.0,0.3795,,
M1,BTCUSDT,2024,2196,19,47.37,39.0,0.4098,,
M1,BTCUSDT,2025,2190,19,35.11,27.0,0.2854,,
M1,BTCUSDT,2026,1560,15,29.2,28.0,0.3077,,
M1,ETHUSDT,full_window,14712,144,34.62,25.0,0.3389,0.3389,0.0000
M1,ETHUSDT,2020,2196,22,41.82,32.0,0.3916,,
M1,ETHUSDT,2021,2190,24,37.75,26.0,0.4411,,
M1,ETHUSDT,2022,2190,20,28.0,21.0,0.2557,,
M1,ETHUSDT,2023,2190,23,32.78,25.0,0.3443,,
M1,ETHUSDT,2024,2196,18,39.94,27.5,0.3274,,
M1,ETHUSDT,2025,2190,21,31.05,21.0,0.2977,,
M1,ETHUSDT,2026,1560,16,29.69,25.0,0.3045,,
M2,BTCUSDT,full_window,14712,1288,11.4,4.0,0.9979,0.5299,0.4680
M2,BTCUSDT,2020,2196,171,13.02,,0.9859,0.6116,0.3743
M2,BTCUSDT,2021,2190,179,11.99,,1.0000,0.5347,0.4653
M2,BTCUSDT,2022,2190,200,10.89,,1.0000,0.4457,0.5543
M2,BTCUSDT,2023,2190,201,10.86,,1.0000,0.5443,0.4557
M2,BTCUSDT,2024,2196,163,13.51,,1.0000,0.5638,0.4362
M2,BTCUSDT,2025,2190,235,9.35,,1.0000,0.5178,0.4822
M2,BTCUSDT,2026,1560,139,11.12,,1.0000,0.4756,0.5244
M2,ETHUSDT,full_window,14712,1223,12.0,4.0,0.9978,0.5353,0.4625
M2,ETHUSDT,2020,2196,183,11.88,,0.9859,0.6011,0.3848
M2,ETHUSDT,2021,2190,166,13.2,,0.9995,0.6155,0.3840
M2,ETHUSDT,2022,2190,172,12.7,,1.0000,0.4726,0.5274
M2,ETHUSDT,2023,2190,177,12.36,,1.0000,0.5292,0.4708
M2,ETHUSDT,2024,2196,168,13.05,,1.0000,0.5464,0.4536
M2,ETHUSDT,2025,2190,210,10.65,,1.0000,0.4895,0.5105
M2,ETHUSDT,2026,1560,147,10.29,,1.0000,0.4750,0.5250
