product_id,display_name,underlying,contract_size,price,notional_per_contract_usd,tick_price_increment,quote_increment,min_order_contracts,max_order_contracts,contract_expiry,contract_expiry_type,funding_interval,funding_rate_now,funding_rate_now_annualised_pct,intraday_long_margin_rate,intraday_max_leverage,overnight_long_margin_rate,overnight_short_margin_rate,overnight_max_leverage_long,overnight_long_margin_usd_per_contract,holdable_overnight_at_cap,cap_usd,open_interest_contracts,approx_quote_24h_volume_usd,twenty_four_by_seven,venue,risk_managed_by
BIP-20DEC30-CDE,BTC PERP,BTC,0.01,80705,807.05,5,0.01,1,5000,2089-12-30T16:00:00Z,EXPIRING,3600s,0.000014,12.264,0.1000185,10.0,0.245625,0.306375,4.07,198.23,False,100.0,175349,512746304.7,True,cde,MANAGED_BY_FCM
ETP-20DEC30-CDE,ETH PERP,ETH,0.1,2581.5,258.15,0.5,0.01,1,5000,2089-12-30T16:00:00Z,EXPIRING,3600s,0.000004,3.504,0.100062,9.99,0.24525,0.33475,4.08,63.31,True,100.0,222904,136648346.55,True,cde,MANAGED_BY_FCM
XPP-20DEC30-CDE,XRP PERP,XRP,500,1.3846,692.3,0.0001,0.01,1,1000,2089-12-30T16:00:00Z,EXPIRING,3600s,0.000008,7.008,0.200129,5.0,0.373375,0.566,2.68,258.49,False,100.0,43784,85131438.7,True,cde,MANAGED_BY_FCM
ZEC-20DEC30-CDE,ZCASH PERP,ZEC,1,1489.2,1489.2,0.05,0.01,1,1000,2089-12-30T16:00:00Z,EXPIRING,3600s,0.000045,39.42,0.2499543,4.0,0.539625,0.990125,1.85,803.61,False,100.0,12864,79046736,True,cde,MANAGED_BY_FCM
SLP-20DEC30-CDE,SOL PERP,SOL,5,111.2,556.0,0.01,0.01,1,1000,2089-12-30T16:00:00Z,EXPIRING,3600s,0.000012,10.512,0.1999824,5.0,0.366,0.55975,2.73,203.5,False,100.0,35239,75878432,True,cde,MANAGED_BY_FCM
NER-20DEC30-CDE,NEAR PERP,NEAR,500,3.6296,1814.8,0.0001,0.01,1,1000,2089-12-30T16:00:00Z,EXPIRING,3600s,-0.000014,-12.264,0.1999032,5.0,0.38325,0.563,2.61,695.52,False,100.0,1911,67878964.4,True,cde,MANAGED_BY_FCM
US5-19DEC30-CDE,US 500 PERP,CDEUS5,1,3074.1,3074.1,0.1,0.01,1,1000,2030-12-19T22:00:00Z,EXPIRING,3600s,0.000003,2.628,0.0499928,20.0,0.06325,0.067625,15.81,194.44,False,100.0,909,32637719.7,False,cde,MANAGED_BY_FCM
HYP-20DEC30-CDE,HYPE PERP,HYPE,10,91.51,915.1,0.01,0.01,1,1000,2089-12-30T16:00:00Z,EXPIRING,3600s,0.000008,7.008,0.1998656,5.0,0.374,0.549125,2.67,342.25,False,100.0,8450,21235810.6,True,cde,MANAGED_BY_FCM
TEK-19DEC30-CDE,TECH PERP,CDETEK,1,3961.5,3961.5,0.1,0.01,1,1000,2030-12-19T22:00:00Z,EXPIRING,3600s,0.000001,0.876,0.0499844,20.01,0.0695,0.074125,14.39,275.32,False,100.0,705,20072920.5,False,cde,MANAGED_BY_FCM
XLP-20DEC30-CDE,XLM PERP,XLM,5000,0.192,960.0,0.00001,0.01,1,1000,2089-12-30T16:00:00Z,EXPIRING,3600s,0.000021,18.396,0.2499776,4.0,0.281,0.38675,3.56,269.76,False,100.0,4059,17654400,True,cde,MANAGED_BY_FCM
ENA-20DEC30-CDE,ENA PERP,ENA,5000,0.16676,833.8,0.00001,0.01,1,1000,2089-12-30T16:00:00Z,EXPIRING,3600s,0.000007,6.132,0.2499144,4.0,0.386625,0.5695,2.59,322.37,False,100.0,1549,17585675.8,True,cde,MANAGED_BY_FCM
OND-20DEC30-CDE,ONDO PERP,ONDO,1000,0.3971,397.1,0.0001,0.01,1,1000,2089-12-30T16:00:00Z,EXPIRING,3600s,0.000047,41.172,0.1999824,5.0,0.3415,0.477125,2.93,135.61,False,100.0,4942,16318824.5,True,cde,MANAGED_BY_FCM
