product_id,status,trading_disabled,first_daily_candle,days_history,median_30d_volume_usd,quote_increment,min_market_funds_usd
00-USD,online,False,2022-10-11,1438,40236.12,0.00000001,1
1INCH-USD,online,False,2021-04-09,1988,41107.37,0.00001,1
2Z-USD,online,False,2025-10-16,337,22845.54,0.00001,1
A8-USD,online,False,2024-07-17,793,27143.5,0.000001,1
AAVE-USD,online,False,2020-12-15,2103,4318086.83,0.01,1
ABT-USD,online,False,2022-07-21,1520,28941.95,0.0001,1
ACH-USD,online,False,2021-08-03,1872,159873.25,0.000001,1
ACS-USD,online,False,2023-02-15,1311,28679.86,0.0000001,1
ADA-USD,online,False,2021-03-18,2010,14905181.52,0.00001,1
AERGO-USD,online,False,2022-03-08,1655,95060.08,0.000001,1
AERO-USD,online,False,2024-02-06,955,4740703.28,0.00001,1
AGLD-USD,online,False,2021-09-21,1823,24216.46,0.0001,1
AI-USD,online,False,2026-04-29,142,52480.26,0.00001,1
AIOZ-USD,online,False,2022-03-08,1655,182646.15,0.00001,1
AKT-USD,online,False,2024-03-19,913,512122.74,0.0001,1
ALCX-USD,online,False,2021-11-16,1767,14787.34,0.01,1
ALEO-USD,online,False,2024-09-18,730,36052.73,0.000001,1
ALEPH-USD,online,False,2022-06-22,1549,22417.76,0.00001,1
ALGO-USD,online,False,2019-08-15,2591,1474127.19,0.00001,1
ALICE-USD,online,False,2022-02-24,1667,50512.53,0.00001,1
ALIGN-USD,online,False,2026-08-20,29,385414.61,0.00001,1
ALLO-USD,online,False,2025-11-12,310,226317.26,0.0001,1
ALT-USD,online,False,2025-03-27,540,8330.28,0.00001,1
AMP-USD,online,False,2021-06-10,1926,162406.59,0.0000001,1
ANKR-USD,online,False,2021-03-25,2003,104385.98,0.0000001,1
APE-USD,online,False,2022-03-17,1646,508508.7,0.00001,1
API3-USD,online,False,2021-12-09,1744,71882.79,0.00001,5
APR-USD,online,False,2025-10-23,330,313871.91,0.0001,1
APT-USD,online,False,2022-10-19,1430,1268172.47,0.0001,1
ARB-USD,online,False,2023-03-23,1275,4568310.52,0.00001,1
ARKM-USD,online,False,2024-04-02,899,27552.11,0.00001,1
ARPA-USD,online,False,2021-10-19,1795,13466.65,0.000001,1
ARX-USD,online,False,2026-06-22,88,192928.9,0.0001,1
ASM-USD,online,False,2021-10-21,1793,30022.57,0.00001,1
AST-USD,online,False,2022-06-28,1543,22258.5,0.000001,1
ASTER-USD,online,False,2025-11-20,302,980848.94,0.0001,1
ATH-USD,online,False,2025-03-13,554,172328.81,0.000001,1
ATOM-USD,online,False,2020-01-14,2439,738561.64,0.0001,1
AUCTION-USD,online,False,2021-10-19,1795,36872.27,0.0001,1
AUDIO-USD,online,False,2023-01-26,1331,13568.92,0.000001,1
AURORA-USD,online,False,2022-09-06,1473,18199.87,0.000001,1
AVAX-USD,online,False,2021-09-30,1814,5298189.87,0.001,1
AVNT-USD,online,False,2025-09-09,374,364046.84,0.00001,1
AVT-USD,online,False,2022-02-03,1688,39722.94,0.00001,1
AWE-USD,online,False,2025-09-04,379,18259.87,0.00001,1
AXL-USD,online,False,2023-02-07,1319,67043.4,0.0001,1
AXS-USD,online,False,2021-08-12,1863,89689.65,0.0001,1
AZTEC-USD,online,False,2026-02-12,218,76264.07,0.00001,1
B3-USD,online,False,2025-02-10,585,125397.39,0.0000001,1
BADGER-USD,online,False,2021-10-14,1800,6174.06,0.0001,1
BAL-USD,online,False,2020-10-06,2173,22908.31,0.0001,1
BAND-USD,online,False,2020-08-11,2229,13113.91,0.00001,1
BARD-USD,online,False,2025-09-18,365,44693.44,0.0001,1
BASECAT-USD,online,False,2026-08-24,25,1160929.81,0.00001,1
BASED1-USD,online,False,2026-03-30,172,84058.26,0.00001,1
BAT-USD,online,False,2021-04-20,1977,120693.96,0.00001,1
BCH-USD,online,False,2018-06-24,3008,3532584.11,0.01,1
BEAM-USD,online,False,2025-12-16,276,20511.4,0.000001,1
BERA-USD,online,False,2025-02-06,589,172664.39,0.00001,1
BICO-USD,online,False,2021-12-01,1752,848291.02,0.000001,1
BIGTIME-USD,online,False,2023-10-12,1072,28012.03,0.000001,1
BILL-USD,online,False,2026-05-04,137,624576.86,0.00001,1
BIO-USD,online,False,2025-07-31,414,51133.01,0.00001,1
BIRB-USD,online,False,2026-01-28,233,105437.08,0.00001,1
BLAST-USD,online,False,2024-06-26,814,31167.15,0.00000001,1
BLEND-USD,online,False,2026-04-24,147,11413.79,0.0001,1
BLUECHIP-USD,online,False,2026-09-16,2,388026.83,0.00001,1
BLUR-USD,online,False,2023-02-14,1312,15111.64,0.000001,1
BLZ-USD,online,False,2021-12-09,1744,65487.01,0.00001,1
BNB-USD,online,False,2025-10-22,331,2828196.68,0.01,1
BNKR-USD,online,False,2025-07-30,415,341133.69,0.0000001,1
BNT-USD,online,False,2020-12-15,2103,8266.37,0.0001,1
BOBA-USD,online,False,2022-06-30,1541,14447.28,0.0001,1
BOBBOB-USD,online,False,2025-11-21,301,90252.29,0.00001,1
BONK-USD,online,False,2023-12-14,1009,1467076.17,0.00000001,1
BREV-USD,online,False,2026-01-06,255,8030.45,0.0001,1
BTC-USD,online,False,2015-07-20,4078,500486155.89,0.01,1
BTRST-USD,online,False,2021-09-15,1829,25721.67,0.00001,1
C98-USD,online,False,2022-06-07,1564,8613.86,0.000001,1
CAKE-USD,online,False,2025-06-12,463,189169.36,0.001,1
CAP-USD,online,False,2026-06-26,84,268555.77,0.00001,1
CBETH-USD,online,False,2022-08-25,1485,404466.23,0.01,1
CELR-USD,online,False,2022-08-16,1494,17400.41,0.0000001,1
CFG-USD,online,False,2025-09-25,358,386981.86,0.0001,1
CGLD-USD,online,False,2020-09-01,2208,43973.08,0.0001,1
CHECK-USD,online,False,2026-04-02,169,8999.15,0.00001,1
CHIP-USD,online,False,2026-04-21,150,970201.9,0.00001,1
CHZ-USD,online,False,2021-06-17,1919,46446.28,0.000001,1
CLANKER-USD,online,False,2025-04-23,513,140943.57,0.01,1
COMP-USD,online,False,2020-06-23,2278,158347.18,0.01,1
